Deposit number,Lat.,Long.,Age (Ma),Erosion rate (km/My) ,Ind. depth e-rate (km/My),Modern MAP (mm),Slope (o) (90m),Slope (o) (10km),Frequency
118,5.0333,95.95,11,0.18,-,1966.60,19.38,13.77291728,1
119,0.51667,123.22,3.75,0.53,-,1568.10,1.96,13.54851463,2
120,0.34528,123.4,3,0.67,-,1785.70,22.44,17.63153221,1
121,31.659,53.85,16,0.13,-,114.12,3.71,6.812424251,2
122,34.55,49.267,14.9,0.13,-,279.84,5.14,2.813703552,1
123,31.576,53.823,16,0.13,-,114.12,5.90,14.65261335,2
124,29.88,55.899,14.9,0.13,-,206.56,13.83,10.80653622,2
125,30.421,55.167,11,0.18,-,143.60,8.33,8.898114342,2
126,28.9,57.233,12,0.17,-,179.60,1.59,9.682971671,1
127,29.945,55.862,12.5,0.16,-,206.56,0.31,14.48376544,2
128,38.807,46.371,14.9,0.13,0.10,394.16,27.38,24.1985324,5
129,40.532,8.365,30.5,0.07,0.03,716.80,6.41,6.700836355,2
130,39.171,8.4964,30,0.07,-,588.56,4.02,4.845385763,2
131,41.511,22.602,23,0.09,-,485.64,5.87,3.895794891,6
132,41.617,22.883,34,0.06,-,485.64,1.60,11.49191678,6
133,41.8,22.867,23,0.09,-,552.88,7.04,8.49660377,6
134,6.0333,116.47,7,0.29,-,2375.60,25.48,19.35630667,2
135,6.1,116.47,8,0.25,-,2375.60,7.81,19.91422554,2
136,27.033,-107.7,51.6,0.04,-,886.52,10.36,24.64624311,3
137,30.954,-110.32,59,0.03,-,497.20,47.25,9.126468782,11
138,26.252,-107.33,46,0.04,-,998.24,21.41,20.89389504,3
139,28.386,-109.66,56,0.04,-,608.16,21.76,12.6490307,4
140,29.873,-109.96,58.7,0.03,-,538.60,3.76,17.04596184,7
141,30.482,-109.75,57,0.04,-,474.24,26.51,13.78472577,8
142,18.881,-101.64,36,0.06,-,969.64,8.92,13.83009487,3
143,30.318,-109.56,53.7,0.04,0.02,474.24,9.24,18.02696561,7
